"","inv_cogn1","inv_cogn2","inv_cognNews","inv_beh1","inv_beh_p1","inv_beh_p2","inv_beh_p3","inv_beh_p4","inv_beh_p5","inv_beh2","discourse1","discourse2","attitude","mean_involvement"
"5309",3,2,3,1,0,0,0,0,0,0,2,0,8,2.66666666666667
"5310",3,2,3,1,0,0,0,0,0,0,2,0,6,2.66666666666667
"5311",3,3,3,1,0,0,1,0,0,2,3,1,3,3
"5312",3,2,3,1,0,0,0,0,0,1,3,1,5,2.66666666666667
"5313",3,3,3,1,0,0,0,0,0,0,3,0,2,3
"5314",3,1,3,1,0,0,0,0,0,0,2,0,2,2.33333333333333
"5315",2,3,3,1,0,0,0,0,0,0,3,0,2,2.66666666666667
"5316",3,2,3,1,0,0,0,0,0,1,3,1,3,2.66666666666667
"5317",2,2,3,0,0,0,0,0,0,0,2,0,5,2.33333333333333
"5318",2,2,3,1,0,0,0,0,0,0,3,0,5,2.33333333333333
"5319",2,2,3,1,0,1,0,0,0,1,2,0,2,2.33333333333333
"5320",2,2,3,1,0,0,0,0,0,0,2,0,5,2.33333333333333
"5321",3,2,3,1,0,0,0,0,0,0,3,0,4,2.66666666666667
"5322",3,3,3,1,1,0,0,0,0,0,3,0,5,3
"5323",3,3,3,1,0,0,0,0,0,0,2,0,5,3
"5324",2,1,3,1,0,0,0,0,0,0,1,0,4,2
"5325",3,3,3,1,0,0,0,0,0,0,3,0,4,3
"5326",3,3,3,1,0,0,0,0,0,0,3,0,8,3
"5327",3,2,3,1,0,0,0,0,0,0,3,0,7,2.66666666666667
"5328",3,3,3,1,0,0,0,0,0,0,3,0,0,3
"5329",NA,NA,NA,1,0,0,0,0,0,0,NA,0,7,NA
"5330",2,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2
"5331",2,2,3,1,0,0,0,0,0,0,2,0,6,2.33333333333333
"5332",3,2,3,1,0,0,0,0,0,0,3,0,4,2.66666666666667
"5333",2,2,3,1,0,0,0,0,0,0,2,0,7,2.33333333333333
"5334",2,2,3,1,1,0,1,0,0,1,2,0,7,2.33333333333333
"5335",1,1,3,1,0,0,0,0,0,0,3,0,5,1.66666666666667
"5336",3,2,3,1,0,0,0,0,0,0,2,0,5,2.66666666666667
"5337",3,2,3,1,0,0,0,0,0,0,2,0,3,2.66666666666667
"5338",2,2,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2.33333333333333
"5339",2,2,3,1,0,0,0,0,0,0,2,0,3,2.33333333333333
"5340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5341",2,2,3,1,0,0,0,0,0,0,2,0,5,2.33333333333333
"5342",2,2,3,0,0,0,0,0,0,0,2,0,4,2.33333333333333
"5343",3,2,3,1,0,0,0,0,0,0,3,0,5,2.66666666666667
"5344",3,2,3,1,0,0,0,0,0,0,3,0,5,2.66666666666667
"5345",3,3,3,1,0,0,0,0,0,0,3,0,2,3
"5346",1,1,3,NA,0,0,0,0,0,0,2,0,6,1.66666666666667
"5347",NA,NA,NA,1,0,0,0,0,0,0,NA,0,NA,NA
"5348",2,2,3,NA,0,0,0,0,0,0,3,0,6,2.33333333333333
"5349",3,3,3,1,0,0,0,0,0,0,3,0,7,3
"5350",1,1,1,1,0,0,0,0,0,0,1,0,3,1
"5351",1,1,1,NA,-9,-9,-9,-9,-9,NA,1,NA,NA,1
"5352",2,2,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2.33333333333333
"5353",2,3,3,1,0,0,0,0,0,0,3,0,6,2.66666666666667
"5354",3,3,3,1,0,0,0,0,0,1,3,1,2,3
"5355",3,2,3,1,0,0,0,0,0,0,2,0,5,2.66666666666667
"5356",3,2,3,0,0,0,0,0,0,0,2,0,3,2.66666666666667
"5357",3,2,3,1,0,0,0,0,0,0,3,0,3,2.66666666666667
"5358",2,2,3,1,0,0,0,0,1,1,3,0,3,2.33333333333333
"5359",2,2,3,1,0,0,0,0,0,0,2,0,5,2.33333333333333
"5360",1,2,3,1,0,0,0,0,0,0,1,0,5,2
"5361",3,3,3,1,0,0,0,0,0,0,3,0,5,3
"5362",2,1,3,0,0,0,0,0,0,0,1,0,NA,2
"5363",3,2,3,1,0,0,0,0,0,0,3,0,5,2.66666666666667
"5364",3,3,3,1,0,0,0,0,0,0,3,0,5,3
"5365",2,2,3,1,0,0,0,0,0,1,3,1,0,2.33333333333333
"5366",3,3,3,1,0,0,0,0,0,1,2,1,2,3
"5367",3,3,3,1,0,0,0,0,0,0,3,0,7,3
"5368",2,2,3,1,0,0,0,0,0,0,2,0,2,2.33333333333333
"5369",3,2,3,1,0,0,0,0,0,0,2,0,7,2.66666666666667
"5370",3,2,3,0,0,0,0,0,0,0,3,0,5,2.66666666666667
"5371",3,3,3,1,0,0,0,0,0,0,3,0,1,3
"5372",2,2,3,1,0,0,0,0,0,0,2,0,5,2.33333333333333
"5373",3,3,3,1,0,0,0,0,0,0,3,0,3,3
"5374",3,2,3,0,0,0,0,0,0,0,3,0,6,2.66666666666667
"5375",3,2,3,1,0,0,0,0,0,1,3,1,5,2.66666666666667
"5376",2,2,3,1,0,0,0,0,0,0,2,0,NA,2.33333333333333
"5377",2,3,3,1,0,0,0,0,0,0,3,0,8,2.66666666666667
